Depth (rmcd)	La2004 age (Ma)
37.60	39.786
44.42	40.094
45.04	40.122
45.48	40.145
45.86	40.165
46.22	40.188
46.60	40.209
46.98	40.234
47.38	40.257
47.82	40.278
48.22	40.300
48.60	40.323
48.98	40.348
49.38	40.370
49.78	40.390
50.18	40.411
50.54	40.429
50.86	40.445
51.28	40.465
51.56	40.484
51.90	40.500
52.24	40.518
52.60	40.538
52.94	40.559
53.30	40.582
53.68	40.607
54.16	40.630
54.58	40.651
55.06	40.672
55.52	40.695
55.94	40.720
56.34	40.742
57.80	40.808
58.30	40.835
58.70	40.856
59.08	40.875
59.56	40.893
60.10	40.911
60.54	40.931
60.98	40.952
61.52	40.975
62.12	41.002
62.76	41.023
63.48	41.044
64.22	41.066
64.88	41.092
65.54	41.115
66.06	41.136
66.38	41.156
66.80	41.177
67.58	41.207
68.16	41.228
68.76	41.247
69.30	41.267
69.86	41.285
70.38	41.304
70.92	41.323
71.36	41.342
71.76	41.358
72.22	41.377
72.74	41.396
73.28	41.417
73.92	41.438
74.50	41.467
76.38	41.550
77.04	41.581
77.70	41.602
78.10	41.622
78.48	41.642
78.92	41.660
79.32	41.677
79.70	41.696
80.10	41.716
80.50	41.735
80.88	41.752
81.26	41.770
81.76	41.790
82.30	41.810
82.76	41.831
83.50	41.861
83.98	41.882
84.52	41.902
85.08	41.923
85.66	41.944
86.26	41.974
86.82	41.994
87.30	42.015
87.80	42.035
88.54	42.070
88.90	42.089
89.28	42.108
89.66	42.126
90.12	42.144
90.58	42.163
91.08	42.183
91.58	42.204
92.18	42.229
92.84	42.255
93.44	42.275
94.02	42.296
94.56	42.317
95.08	42.346
95.58	42.367
96.02	42.409
96.52	42.428
96.88	42.443
97.32	42.461
97.82	42.482
98.28	42.501
98.68	42.518
99.10	42.535
99.60	42.556
100.18	42.577
100.76	42.598
101.28	42.624
101.86	42.647
102.52	42.669
102.94	42.690
103.34	42.713
103.90	42.736
104.44	42.759
104.94	42.781
105.46	42.804
105.98	42.826
106.56	42.849
107.18	42.872
107.80	42.898
108.40	42.920
108.90	42.939
109.50	42.954
110.22	42.974
110.91	42.996
111.66	43.017
112.28	43.039
113.06	43.065
113.78	43.087
114.48	43.109
115.12	43.130
115.82	43.151
116.49	43.179
117.25	43.200
117.83	43.221
118.45	43.241
119.03	43.260
119.35	43.277
119.65	43.295
120.13	43.315
120.59	43.332
121.11	43.350
121.57	43.369
122.05	43.390
122.59	43.410
123.15	43.434
123.69	43.460
124.29	43.481
124.83	43.502
125.37	43.523
125.96	43.549
126.38	43.572
126.80	43.594
127.24	43.614
127.61	43.635
128.00	43.653
128.30	43.666
128.64	43.686
129.06	43.707
129.46	43.726
129.84	43.744
130.20	43.763
130.58	43.782
130.92	43.802
131.28	43.823
131.68	43.834
132.14	43.854
132.56	43.875
132.98	43.896
133.40	43.917
133.96	43.943
134.50	43.967
135.06	43.987
135.62	44.008
	
