U926S_MS_Site,U926S_MS_Hole,U926S_MS_Core,U926S_MS_Type,U926S_MS_Section,U926S_MS_Interval,U926S_MS_CSF,U926S_MS_CCSF,U926S_MS_MS
926,B,1,H,1,2,0.015,0.015,6
926,B,1,H,1,4,0.045,0.045,9
926,B,1,H,1,8,0.075,0.075,10
926,B,1,H,1,10,0.105,0.105,8
926,B,1,H,1,14,0.135,0.135,10
926,B,1,H,1,16,0.165,0.165,8
926,B,1,H,1,20,0.195,0.195,9
926,B,1,H,1,22,0.225,0.225,8
926,B,1,H,1,26,0.255,0.255,11
926,B,1,H,1,28,0.285,0.285,10
926,B,1,H,1,32,0.316,0.316,9
926,B,1,H,1,34,0.345,0.345,13
926,B,1,H,1,38,0.375,0.375,12
926,B,1,H,1,41,0.406,0.406,17
926,B,1,H,1,44,0.437,0.437,16
926,B,1,H,1,47,0.466,0.466,18
926,B,1,H,1,50,0.496,0.496,16
926,B,1,H,1,52,0.525,0.525,16
926,B,1,H,1,56,0.555,0.555,18
926,B,1,H,1,58,0.585,0.585,16
926,B,1,H,1,62,0.615,0.615,17
926,B,1,H,1,64,0.645,0.645,16
926,B,1,H,1,68,0.675,0.675,18
926,B,1,H,1,71,0.706,0.706,21
926,B,1,H,1,74,0.736,0.736,18
926,B,1,H,1,76,0.765,0.765,19
926,B,1,H,1,80,0.796,0.796,22
926,B,1,H,1,82,0.825,0.825,19
926,B,1,H,1,86,0.855,0.855,20
926,B,1,H,1,88,0.885,0.885,20
926,B,1,H,1,92,0.916,0.916,22
926,B,1,H,1,95,0.946,0.946,24
926,B,1,H,1,98,0.975,0.975,20
926,B,1,H,1,100,1.005,1.005,20
926,B,1,H,1,104,1.035,1.035,18
926,B,1,H,1,107,1.066,1.066,20
926,B,1,H,1,110,1.096,1.096,22
926,B,1,H,1,112,1.125,1.125,20
926,B,1,H,1,116,1.157,1.157,20
926,B,1,H,1,118,1.185,1.185,18
926,B,1,H,1,122,1.215,1.215,19
926,B,1,H,1,124,1.245,1.245,16
926,B,1,H,1,128,1.275,1.275,17
926,B,1,H,1,130,1.305,1.305,16
926,B,1,H,1,134,1.336,1.336,18
926,B,1,H,1,137,1.37,1.37,16
926,B,1,H,1,140,1.395,1.395,18
926,B,1,H,1,142,1.425,1.425,17
926,B,1,H,1,146,1.456,1.456,18
926,B,1,H,1,149,1.486,1.486,9
926,B,1,H,2,2,1.515,1.515,11
926,B,1,H,2,4,1.545,1.545,15
926,B,1,H,2,8,1.575,1.575,16
926,B,1,H,2,10,1.605,1.605,17
926,B,1,H,2,14,1.637,1.637,18
926,B,1,H,2,16,1.665,1.665,18
926,B,1,H,2,20,1.696,1.696,16
926,B,1,H,2,22,1.725,1.725,15
926,B,1,H,2,26,1.757,1.757,17
926,B,1,H,2,29,1.786,1.786,16
926,B,1,H,2,32,1.815,1.815,17
926,B,1,H,2,34,1.845,1.845,17
926,B,1,H,2,38,1.875,1.875,17
926,B,1,H,2,40,1.905,1.905,19
926,B,1,H,2,44,1.935,1.935,19
926,B,1,H,2,46,1.965,1.965,21
926,B,1,H,2,50,1.996,1.996,17
926,B,1,H,2,52,2.025,2.025,19
926,B,1,H,2,56,2.055,2.055,16
926,B,1,H,2,58,2.085,2.085,15
926,B,1,H,2,62,2.115,2.115,14
926,B,1,H,2,64,2.145,2.145,13
926,B,1,H,2,68,2.175,2.175,13
926,B,1,H,2,70,2.205,2.205,14
926,B,1,H,2,74,2.237,2.237,17
