U926S_RSC_Site,U926S_RSC_Hole,U926S_RSC_Core,U926S_RSC_Type,U926S_RSC_Section,U926S_RSC_Interval,U926S_RSC_CSF,U926S_RSC_CCSF,U926S_RSC_LStar,U926S_RSC_AStar,U926S_RSC_BStar
U926,B,1,H,1,5,0.05,0.05,45.99,4.19,7.01
U926,B,1,H,1,10,0.1,0.1,56.46,4.97,10.14
U926,B,1,H,1,15,0.15,0.15,59.7,5.52,12.65
U926,B,1,H,1,20,0.2,0.2,59.6,5.71,12.94
U926,B,1,H,1,25,0.25,0.25,57.36,7.04,14.28
U926,B,1,H,1,30,0.3,0.3,56.68,7.32,12.66
U926,B,1,H,1,35,0.35,0.35,54.59,7.74,13.34
U926,B,1,H,1,40,0.4,0.4,54.25,7.52,12.18
U926,B,1,H,1,45,0.45,0.45,50.71,7.59,11.55
U926,B,1,H,1,50,0.5,0.5,48.96,8.24,11.71
U926,B,1,H,1,55,0.55,0.55,46.39,6.34,7.99
U926,B,1,H,1,60,0.6,0.6,48.94,7.07,10.62
U926,B,1,H,1,65,0.65,0.65,47.66,6.9,9.75
U926,B,1,H,1,70,0.7,0.7,52.19,7.45,12.05
U926,B,1,H,1,75,0.75,0.75,51.84,7.8,12.59
U926,B,1,H,1,80,0.8,0.8,50.54,7.84,11.68
U926,B,1,H,1,85,0.85,0.85,53.42,7.63,12.48
U926,B,1,H,1,90,0.9,0.9,50.51,7.63,11.37
U926,B,1,H,1,95,0.95,0.95,52.23,5.92,10.51
U926,B,1,H,1,100,1,1,53.62,6.2,12.19
U926,B,1,H,1,105,1.05,1.05,53.81,6.06,12.65
U926,B,1,H,1,110,1.1,1.1,53.92,6.96,13.73
U926,B,1,H,1,115,1.15,1.15,54.54,4.87,10.7
U926,B,1,H,1,120,1.2,1.2,54.33,4.69,10.43
U926,B,1,H,1,125,1.25,1.25,54.64,4.65,11.1
U926,B,1,H,1,130,1.3,1.3,54.26,5.01,11.81
U926,B,1,H,1,135,1.35,1.35,55.61,4.76,11.46
U926,B,1,H,1,140,1.4,1.4,55.8,5.6,12.8
U926,B,1,H,1,145,1.45,1.45,54.21,5.03,11.48
U926,B,1,H,1,150,1.5,1.5,55.2,5.26,12.05
U926,B,1,H,2,5,1.55,1.55,54.7,5.33,10.49
U926,B,1,H,2,10,1.6,1.6,53.97,5.94,11.69
U926,B,1,H,2,15,1.65,1.65,54.48,5.75,12.03
U926,B,1,H,2,20,1.7,1.7,54.14,5.38,9.79
U926,B,1,H,2,25,1.75,1.75,53.45,5.52,11.19
U926,B,1,H,2,30,1.8,1.8,56.14,4.92,9.31
U926,B,1,H,2,35,1.85,1.85,55.12,5.39,11.05
U926,B,1,H,2,40,1.9,1.9,55.88,5.55,10.27
U926,B,1,H,2,45,1.95,1.95,54.6,5.68,10.34
U926,B,1,H,2,50,2,2,53.88,6.13,11.15
U926,B,1,H,2,55,2.05,2.05,55.01,5.84,11.76
U926,B,1,H,2,60,2.1,2.1,54.79,5.64,11.88
U926,B,1,H,2,65,2.15,2.15,55.86,4.73,10.79
U926,B,1,H,2,70,2.2,2.2,56.79,4.99,10.24
U926,B,1,H,2,75,2.25,2.25,54.94,4.93,10.53
U926,B,1,H,2,80,2.3,2.3,55.31,5.09,10.12
U926,B,1,H,2,85,2.35,2.35,54.37,5.28,11.57
U926,B,1,H,2,90,2.4,2.4,56.13,5.4,11.14
U926,B,1,H,2,95,2.45,2.45,55.03,5.68,10.92
U926,B,1,H,2,100,2.5,2.5,54.82,5.15,9.52
