U926S_XRFePAME_Site,U926S_XRFePAME_Hole,U926S_XRFePAME_Core,U926S_XRFePAME_Type,U926S_XRFePAME_Section,U926S_XRFePAME_Interval,U926S_XRFePAME_CSF,U926S_XRFePAME_CCSF,U926S_XRFePAME_FeArea,U926S_XRFePAME_AgeW17
U926,A,10,H,2,130,82.8,93.2,22662,2.9855
U926,A,10,H,2,133,82.83,93.23,17092,2.98689
U926,A,10,H,2,134,82.84,93.24,16464,2.98736
U926,A,10,H,2,136,82.86,93.26,14671,2.98829
U926,A,10,H,2,137,82.87,93.27,14299,2.98875
U926,A,10,H,2,138,82.88,93.28,14256,2.98921
U926,A,10,H,2,140,82.9,93.3,14567,2.99014
U926,A,10,H,2,142,82.92,93.32,10018,2.99107
U926,A,10,H,2,144,82.94,93.34,10870,2.992
U926,A,10,H,2,146,82.96,93.36,11659,2.99265
U926,A,10,H,2,148,82.98,93.38,10148,2.99331
U926,A,10,H,3,3,83.03,93.43,11573,2.99495
U926,A,10,H,3,4,83.04,93.44,12011,2.99527
U926,A,10,H,3,6,83.06,93.46,11195,2.99593
U926,A,10,H,3,8,83.08,93.48,12349,2.99658
U926,A,10,H,3,10,83.1,93.5,14566,2.99724
U926,A,10,H,3,13,83.13,93.53,16500,2.99822
U926,A,10,H,3,14,83.14,93.54,15965,2.99855
U926,A,10,H,3,16,83.16,93.56,18191,2.9992
U926,A,10,H,3,17,83.17,93.57,20168,2.99953
U926,A,10,H,3,20,83.2,93.6,21634,3.00051
U926,A,10,H,3,22,83.22,93.62,22449,3.00116
U926,A,10,H,3,24,83.24,93.64,21785,3.00182
U926,A,10,H,3,26,83.26,93.66,21077,3.00247
U926,A,10,H,3,28,83.28,93.68,20997,3.00313
U926,A,10,H,3,29,83.29,93.69,21191,3.00345
U926,A,10,H,3,30,83.3,93.7,21638,3.00378
U926,A,10,H,3,32,83.32,93.72,19158,3.00444
U926,A,10,H,3,34,83.34,93.74,19409,3.00509
U926,A,10,H,3,36,83.36,93.76,18711,3.00575
U926,A,10,H,3,38,83.38,93.78,18485,3.0064
U926,A,10,H,3,39,83.39,93.79,20788,3.00673
U926,A,10,H,3,42,83.42,93.82,19391,3.00771
U926,A,10,H,3,44,83.44,93.84,19374,3.00836
U926,A,10,H,3,45,83.45,93.85,18869,3.00869
U926,A,10,H,3,46,83.46,93.86,18493,3.00902
U926,A,10,H,3,48,83.48,93.88,20070,3.00967
U926,A,10,H,3,50,83.5,93.9,18403,3.01033
U926,A,10,H,3,52,83.52,93.92,17910,3.01098
U926,A,10,H,3,54,83.54,93.94,17510,3.01164
U926,A,10,H,3,56,83.56,93.96,16828,3.01229
U926,A,10,H,3,59,83.59,93.99,17234,3.01327
U926,A,10,H,3,60,83.6,94,17971,3.0136
U926,A,10,H,3,62,83.62,94.02,17237,3.01425
U926,A,10,H,3,63,83.63,94.03,16538,3.01458
U926,A,10,H,3,66,83.66,94.06,18668,3.01556
U926,A,10,H,3,68,83.68,94.08,18221,3.01622
U926,A,10,H,3,70,83.7,94.1,19450,3.01687
U926,A,10,H,3,72,83.72,94.12,17648,3.01753
U926,A,10,H,3,74,83.74,94.14,15756,3.01818
U926,A,10,H,3,76,83.76,94.16,15073,3.01884
U926,A,10,H,3,77,83.77,94.17,14309,3.01916
U926,A,10,H,3,79,83.79,94.19,15825,3.01982
U926,A,10,H,3,80,83.8,94.2,16495,3.02015
U926,A,10,H,3,83,83.83,94.23,17117,3.02113
U926,A,10,H,3,84,83.84,94.24,17180,3.02145
U926,A,10,H,3,86,83.86,94.26,18415,3.02211
U926,A,10,H,3,88,83.88,94.28,16438,3.02276
U926,A,10,H,3,90,83.9,94.3,18252,3.02342
U926,A,10,H,3,91,83.91,94.31,18330,3.02375
U926,A,10,H,3,94,83.94,94.34,20534,3.02473
U926,A,10,H,3,96,83.96,94.36,19518,3.02538
U926,A,10,H,3,98,83.98,94.38,19410,3.02604
U926,A,10,H,3,100,84,94.4,20396,3.02669
U926,A,10,H,3,101,84.01,94.41,20226,3.02702
U926,A,10,H,3,102,84.02,94.42,18526,3.02735
U926,A,10,H,3,104,84.04,94.44,17499,3.028
U926,A,10,H,3,106,84.06,94.46,21123,3.02863
U926,A,10,H,3,108,84.08,94.48,21504,3.02926
U926,A,10,H,3,110,84.1,94.5,20293,3.02989
U926,A,10,H,3,112,84.12,94.52,20129,3.03051
U926,A,10,H,3,114,84.14,94.54,19519,3.03114
U926,A,10,H,3,116,84.16,94.56,18958,3.03177
U926,A,10,H,3,118,84.18,94.58,15966,3.0324
U926,A,10,H,3,119,84.19,94.59,15705,3.03271
U926,A,10,H,3,122,84.22,94.62,13040,3.03366
