Depth,age,NoteW,Source
0,0,updated_Age,Wilkens et al. 2017
0.95,0.024,updated_Age,Wilkens et al. 2017
1.95,0.045,updated_Age,Wilkens et al. 2017
3.05,0.071,updated_Age,Wilkens et al. 2017
3.6,0.094,updated_Age,Wilkens et al. 2017
4.01,0.105,updated_Age,Wilkens et al. 2017
4.35,0.115,updated_Age,Wilkens et al. 2017
4.78,0.127,updated_Age,Wilkens et al. 2017
5.35,0.139,updated_Age,Wilkens et al. 2017
6.38,0.162,updated_Age,Wilkens et al. 2017
7.78,0.198,updated_Age,Wilkens et al. 2017
8.53,0.22,updated_Age,Wilkens et al. 2017
8.98,0.231,updated_Age,Wilkens et al. 2017
9.4,0.243,updated_Age,Wilkens et al. 2017
9.88,0.252,updated_Age,Wilkens et al. 2017
11.03,0.279,updated_Age,Wilkens et al. 2017
11.8,0.303,updated_Age,Wilkens et al. 2017
12.4,0.323,updated_Age,Wilkens et al. 2017
12.82,0.334,updated_Age,Wilkens et al. 2017
13.2,0.346,updated_Age,Wilkens et al. 2017
15.22,0.398,updated_Age,Wilkens et al. 2017
15.55,0.409,updated_Age,Wilkens et al. 2017
16.05,0.42,updated_Age,Wilkens et al. 2017
16.95,0.436,updated_Age,Wilkens et al. 2017
17.85,0.475,updated_Age,Wilkens et al. 2017
18.09,0.485,updated_Age,Wilkens et al. 2017
19.18,0.516,updated_Age,Wilkens et al. 2017
20.15,0.546,updated_Age,Wilkens et al. 2017
20.56,0.566,updated_Age,Wilkens et al. 2017
21.13,0.59,updated_Age,Wilkens et al. 2017
21.99,0.621,updated_Age,Wilkens et al. 2017
22.26,0.633,updated_Age,Wilkens et al. 2017
23.88,0.693,updated_Age,Wilkens et al. 2017
24.18,0.704,updated_Age,Wilkens et al. 2017
24.78,0.724,updated_Age,Wilkens et al. 2017
25.71,0.743,updated_Age,Wilkens et al. 2017
26.88,0.788,updated_Age,Wilkens et al. 2017
27.15,0.798,updated_Age,Wilkens et al. 2017
28.4,0.835,updated_Age,Wilkens et al. 2017
28.83,0.854,updated_Age,Wilkens et al. 2017
29.4,0.875,updated_Age,Wilkens et al. 2017
29.93,0.895,updated_Age,Wilkens et al. 2017
30.75,0.926,updated_Age,Wilkens et al. 2017
31.88,0.959,updated_Age,Wilkens et al. 2017
32.08,0.969,updated_Age,Wilkens et al. 2017
32.53,0.979,updated_Age,Wilkens et al. 2017
32.73,0.989,updated_Age,Wilkens et al. 2017
33.08,1,updated_Age,Wilkens et al. 2017
33.42,1.013,updated_Age,Wilkens et al. 2017
33.78,1.029,updated_Age,Wilkens et al. 2017
34.85,1.073,updated_Age,Wilkens et al. 2017
35.15,1.084,updated_Age,Wilkens et al. 2017
35.54,1.103,updated_Age,Wilkens et al. 2017
35.9,1.114,updated_Age,Wilkens et al. 2017
36.6,1.136,updated_Age,Wilkens et al. 2017
37.15,1.167,updated_Age,Wilkens et al. 2017
37.54,1.178,updated_Age,Wilkens et al. 2017
38.15,1.198,updated_Age,Wilkens et al. 2017
38.63,1.216,updated_Age,Wilkens et al. 2017
39.53,1.254,updated_Age,Wilkens et al. 2017
40.28,1.283,updated_Age,Wilkens et al. 2017
40.76,1.301,updated_Age,Wilkens et al. 2017
41.33,1.318,updated_Age,Wilkens et al. 2017
41.9,1.328,updated_Age,Wilkens et al. 2017
42.51,1.359,updated_Age,Wilkens et al. 2017
43.55,1.389,updated_Age,Wilkens et al. 2017
44.5,1.42,updated_Age,Wilkens et al. 2017
45.06,1.442,updated_Age,Wilkens et al. 2017
45.8,1.464,updated_Age,Wilkens et al. 2017
46.37,1.484,updated_Age,Wilkens et al. 2017
46.82,1.504,updated_Age,Wilkens et al. 2017
48.26,1.536,updated_Age,Wilkens et al. 2017
48.59,1.547,updated_Age,Wilkens et al. 2017
